Experiment	Strain	Environment	Experiment_Mut	Sel_coef	Mut	Gene	Avg_GR
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut33	-0.0146370540469472	Mut33	in BUL1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut35	-0.0082270368204435	Mut35	in RPL31B	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut36	-0.00455712292062657	Mut36	in SPT8	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut39	0.0925797157348358	Mut39	in MAC1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut40	0.0149861243799603	Mut40	nearby YOL085W-A	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut42	0.0216778324569505	Mut42	in GPA2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut43	0.013178004362759349	Mut43	in VAM6	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut44	-0.008157759563181351	Mut44	in NOP16	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut45	-0.10981627532183601	Mut45	in MCK1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut46	-0.00039068719907620064	Mut46	in SSK1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut49	0.0422155154266262	Mut49	nearby NUP188	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut5	-0.004782611025669549	Mut5	in VPS38	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut50	-0.0582581535941208	Mut50	in SIR4	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut51	-0.0107039721322244	Mut51	nearby FIT2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut52	0.0175336265010517	Mut52	in MSL1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut53	0.0366675576518577	Mut53	in UME6	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut55	0.03326899089705225	Mut55	in LAT1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut57	-0.00597015946863802	Mut57	nearby WHI2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut58	-0.01948165284503055	Mut58	in KAP123	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut59	0.02941877046698941	Mut59	in RRP46	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut6	0.0014957871780854502	Mut6	nearby MET2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut60	0.009169566565689648	Mut60	in RPL35B	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut61	-0.00807719227367125	Mut61	in GET2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut62	0.006651170909982001	Mut62	in RGS2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut63	-0.02186153540893335	Mut63	in SLX8	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut64	0.0013370889687942301	Mut64	in YOR139C	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut66	0.033443064382658365	Mut66	in PPM1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut67	0.03622537768929872	Mut67	in PTR3	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut68	-0.01524825549065397	Mut68	nearby OST4	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut69	-0.0013156462615491003	Mut69	in BRR1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut7	-0.0012391134720303506	Mut7	in FUN30	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut70	-0.02224090150348956	Mut70	in MME1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut71	0.03736298625165155	Mut71	in RSC30	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut72	0.0350203885644279	Mut72	in RPS14B	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut73	-0.030042512978157795	Mut73	nearby SRP40	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut76	0.006968610438895707	Mut76	in RTG1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut78	-0.024097669557553	Mut78	nearby HO	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut79	-0.0412803912406588	Mut79	in PHO4	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut80	-0.02319689366275968	Mut80	in UBP1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut81	0.05355345945198964	Mut81	in RPL2A	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut82	-0.00808951983429323	Mut82	nearby PDE2	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut83	-0.0973875055240484	Mut83	in SIR4	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut84	0.013801634041837749	Mut84	nearby RPL16A	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut85	-0.0295534705582176	Mut85	in SLX8	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut86	0.01434856110018782	Mut86	in VPS36	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut88	-0.01612899925815156	Mut88	in STM1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut9	-0.0026199165239867	Mut9	in TRM9	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut91	-0.0505340247658143	Mut91	nearby COA6	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut92	-0.013334383018418501	Mut92	in RPL16A	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut93	0.053352083624299454	Mut93	nearby VMA7	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut94	-0.0016225857563738014	Mut94	nearby NCP1	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut96	-0.015009668777974095	Mut96	nearby YOL085W-A	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut97	0.0282415026363472	Mut97	in RPL31B	0.1054960214429438
LK1-A02_30_SC3	LK1-A02	30_SC3	LK1-A02_30_SC3_Mut99	-0.021964484224629034	Mut99	nearby TDA11	0.1054960214429438
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut1	-0.014844824786805284	Mut1	in TRP2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut10	-0.031151706732266752	Mut10	nearby MET4	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut101	-0.011506360796435102	Mut101	in HOS4	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut102	-0.020842983941853518	Mut102	nearby YSP2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut103	0.01476429743666105	Mut103	in SUM1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut104	-0.0313716582024652	Mut104	in FUN30	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut105	-0.00490897224972971	Mut105	in EBS1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut107	0.0131390997125717	Mut107	in PDE2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut108	-0.024607083757379043	Mut108	in TRP2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut11	-0.008708773654372714	Mut11	nearby UTP22	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut110	-0.004786082773270713	Mut110	in SCJ1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut114	0.0163961442874332	Mut114	in STE24	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut115	0.03128730858844995	Mut115	in FLC2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut117	0.113930525196351	Mut117	in NOT3	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut120	-0.11686437	Mut120	nearby RPL16A	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut121	-0.0406537792840327	Mut121	in COG8	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut122	0.0631028810455161	Mut122	in SIR3	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut123	0.025261537253997948	Mut123	nearby SFP1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut124	-0.009363870393007106	Mut124	nearby NUP157	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut127	0.0323263950392483	Mut127	in MPC2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut14	0.0254572622092269	Mut14	in DPB4	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut15	0.044198399770606196	Mut15	in OCA1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut17	-0.01525658242976725	Mut17	nearby KRI1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut18	-0.023371001624528702	Mut18	nearby PAH1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut19	0.003047683160602551	Mut19	nearby CCW12	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut2	0.01746401989047285	Mut2	nearby KRE6	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut21	0.03193561131680275	Mut21	in RPL26B	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut22	0.0227715599135135	Mut22	in GPP1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut23	0.10494497	Mut23	nearby RPS22A	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut24	0.083078610100775	Mut24	nearby YLR264C-A	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut25	-0.0430871098928768	Mut25	in OXA1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut26	0.0618885325170847	Mut26	nearby SNF7	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut27	-0.0159926601535259	Mut27	in CSR1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut29	-0.01849742494674125	Mut29	in CPR6	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut3	-0.00018870201641674037	Mut3	in EAF1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut30	-0.0104658900331083	Mut30	in PIH1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut33	-0.029467600849503995	Mut33	in BUL1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut34	0.057334046088519004	Mut34	in PHO4	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut35	0.04038002905457081	Mut35	in RPL31B	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut36	0.10225589	Mut36	in SPT8	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut39	0.0900781872432773	Mut39	in MAC1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut40	0.0671222743068187	Mut40	nearby YOL085W-A	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut41	-0.009879262	Mut41	in STH1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut42	0.04718272	Mut42	in GPA2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut43	-0.0148006569653436	Mut43	in VAM6	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut44	0.02826054004235631	Mut44	in NOP16	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut45	-0.0549068196550934	Mut45	in MCK1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut46	-0.0249125501384357	Mut46	in SSK1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut49	0.0644837594356515	Mut49	nearby NUP188	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut5	0.008513986607065949	Mut5	in VPS38	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut50	-0.0413356178943972	Mut50	in SIR4	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut51	-0.01435488939306582	Mut51	nearby FIT2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut52	0.0205074794252531	Mut52	in MSL1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut53	0.048840804594213603	Mut53	in UME6	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut55	0.043067555101756604	Mut55	in LAT1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut57	-0.0035779509811955	Mut57	nearby WHI2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut58	-0.01980907235126285	Mut58	in KAP123	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut59	0.014137948893615025	Mut59	in RRP46	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut6	-0.023358057594224983	Mut6	nearby MET2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut60	0.0561650889363106	Mut60	in RPL35B	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut61	-0.0106060557400246	Mut61	in GET2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut62	0.0127645470193568	Mut62	in RGS2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut63	0.0018217996446075989	Mut63	in SLX8	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut64	0.00184504854631402	Mut64	in YOR139C	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut66	0.05909929241941475	Mut66	in PPM1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut67	0.0059722001998961695	Mut67	in PTR3	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut68	-0.0019568876816754796	Mut68	nearby OST4	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut69	0.04012104162446225	Mut69	in BRR1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut7	-0.00793358543877263	Mut7	in FUN30	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut70	-0.02250530848558326	Mut70	in MME1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut71	0.04536131252354135	Mut71	in RSC30	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut72	0.0750070101069158	Mut72	in RPS14B	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut73	-0.0007688225822724513	Mut73	nearby SRP40	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut76	0.10477405677807694	Mut76	in RTG1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut79	0.069640895	Mut79	in PHO4	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut80	-0.022143577288464462	Mut80	in UBP1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut81	0.0445832900251084	Mut81	in RPL2A	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut82	0.010006107809543	Mut82	nearby PDE2	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut83	-0.02990763593030294	Mut83	in SIR4	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut84	0.04933536952559705	Mut84	nearby RPL16A	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut85	0.005173994867511602	Mut85	in SLX8	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut86	-0.0143636615574702	Mut86	in VPS36	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut88	0.03518696056501135	Mut88	in STM1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut9	-0.0695058297092371	Mut9	in TRM9	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut91	-0.029348083575788	Mut91	nearby COA6	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut92	0.10069755962971559	Mut92	in RPL16A	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut93	0.1297597796435905	Mut93	nearby VMA7	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut94	0.036150528284225804	Mut94	nearby NCP1	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut96	0.08669758491338811	Mut96	nearby YOL085W-A	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut97	0.0717588370928754	Mut97	in RPL31B	0.17240764833997252
LK1-A02_30_SC5	LK1-A02	30_SC5	LK1-A02_30_SC5_Mut99	-0.0069240263335413115	Mut99	nearby TDA11	0.17240764833997252
LK1-A02_30_SC7	LK1-A02	30_SC7	LK1-A02_30_SC7_Mut1	-0.027301708987729736	Mut1	in TRP2	0.22200265259185548
LK1-A02_30_SC7	LK1-A02	30_SC7	LK1-A02_30_SC7_Mut10	-0.02424927621435708	Mut10	nearby MET4	0.22200265259185548
LK1-A02_30_SC7	LK1-A02	30_SC7	LK1-A02_30_SC7_Mut101	-0.05292814437903155	Mut101	in HOS4	0.22200265259185548
LK1-A02_30_SC7	LK1-A02	30_SC7	LK1-A02_30_SC7_Mut102	-0.0101511600298896	Mut102	nearby YSP2	0.22200265259185548
LK1-A02_30_SC7	LK1-A02	30_SC7	LK1-A02_30_SC7_Mut103	-0.03664048928418575	Mut103	in SUM1	0.22200265259185548
LK1-A02_30_SC7	LK1-A02	30_SC7	LK1-A02_30_SC7_Mut104	-0.0031130343335874994	Mut104	in FUN30	0.22200265259185548
