Strain	Environment	Experiment	Avg_GR	DFE_mean	DFE_graph	pretend_series1	pretend_series2	Env_GR	Env_series
LK1-B03	37_SC5	LK1-B03_37_SC5	0.266178096944494	0.011691276943705402	DFEs/LK1-B03_37_SC5_dfe.png	0.07543435981937396;0.3151948731779114;0.7878924571878705;0.34503528759544155;0.5575078044077912;0.15328769278907728	0.9264399086560665;0.7757621972914006;0.4297419016181542;0.07164999388414628;0.27081828488841553;0.9712206060693471	0.266178096944494;0.23637238628424298;0.2323401309157015;0.23459194519068;0.236619156975577;0.15574839219686798	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-B03	37_SC7	LK1-B03_37_SC7	0.236619156975577	-0.00010069593755050384	DFEs/LK1-B03_37_SC7_dfe.png	0.8445658967136188;0.7358833279571373;0.07201621303903183;0.9476784316272614;0.33205382688786544;0.01552661042622172	0.3402074671177995;0.8601284630512888;0.33090598746871835;0.15988032148918707;0.5330123738017171;0.829136467735819	0.266178096944494;0.23637238628424298;0.2323401309157015;0.23459194519068;0.236619156975577;0.15574839219686798	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-B05	30_SC3	LK1-B05_30_SC3	0.11889005357569651	0.02670281212629811	DFEs/LK1-B05_30_SC3_dfe.png	0.12876351585550305;0.48939185542597863;0.5221758679368963;0.8330873441917644;0.3254574582028399;0.21723791145461324	0.3381440670584942;0.8329251589281913;0.4933462103540799;0.5369708118293931;0.5269521671207751;0.4281440718975681	0.285640830021499;0.27452988240187753;0.250850079899103;0.223557640085551;0.16322507131327701;0.11889005357569651	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-B05	30_SC5	LK1-B05_30_SC5	0.250850079899103	0.023840799147592885	DFEs/LK1-B05_30_SC5_dfe.png	0.9547053982019711;0.9600635927543948;0.5528286651535774;0.3727849817641685;0.4437934059931178;0.9497760520148306	0.6085423353256111;0.3396028141327001;0.8108669425516487;0.4456065124710763;0.0318068150040135;0.6231208026232992	0.285640830021499;0.27452988240187753;0.250850079899103;0.223557640085551;0.16322507131327701;0.11889005357569651	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-B05	30_SC7	LK1-B05_30_SC7	0.223557640085551	0.0029592526608357124	DFEs/LK1-B05_30_SC7_dfe.png	0.12157150680489248;0.2583903235609225;0.18258609323731312;0.1507065004516277;0.9805847067999972;0.42345366567815157	0.3533555264896454;0.06757018028576645;0.9278154094194527;0.7229111176965645;0.972633628026116;0.08420510736989628	0.285640830021499;0.27452988240187753;0.250850079899103;0.223557640085551;0.16322507131327701;0.11889005357569651	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-B05	37_SC3	LK1-B05_37_SC3	0.27452988240187753	-0.003978860778557428	DFEs/LK1-B05_37_SC3_dfe.png	0.619016639988266;0.8749356723159372;0.8363657072899936;0.3787197787528245;0.37212782882371565;0.36497802199491824	0.8742564654238867;0.029082000371031702;0.7184611982799345;0.3123226777015906;0.3553091814810436;0.5840711525417919	0.285640830021499;0.27452988240187753;0.250850079899103;0.223557640085551;0.16322507131327701;0.11889005357569651	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-B05	37_SC5	LK1-B05_37_SC5	0.285640830021499	-0.005359658612444098	DFEs/LK1-B05_37_SC5_dfe.png	0.9759634210387303;0.8675106280964585;0.5663897090435496;0.8906876463222773;0.3715820951931691;0.993860490158714	0.9418643197080313;0.2690204382032598;0.35165994286039004;0.15549547210039782;0.8871934864681928;0.22767604765039018	0.285640830021499;0.27452988240187753;0.250850079899103;0.223557640085551;0.16322507131327701;0.11889005357569651	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-B05	37_SC7	LK1-B05_37_SC7	0.16322507131327701	-0.0028225462075740343	DFEs/LK1-B05_37_SC7_dfe.png	0.965965537642457;0.9299383650451438;0.09592172604954952;0.9070780095681185;0.12773988860052754;0.7449431513088902	0.14969730485764288;0.6676785058175096;0.18648294053041614;0.3409869250466776;0.16956791920433234;0.291004662279291	0.285640830021499;0.27452988240187753;0.250850079899103;0.223557640085551;0.16322507131327701;0.11889005357569651	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-C09	30_SC3	LK1-C09_30_SC3	0.14083004850602499	0.008241733829433044	DFEs/LK1-C09_30_SC3_dfe.png	0.8338885422179552;0.6014524823354112;0.7162907393830856;0.953568273217256;0.8469289947972771;0.7743735453207775	0.40713170516635133;0.2445074457521429;0.9799889665330692;0.3019105773668016;0.9388799919229938;0.001966262307424471	0.3920482112332015;0.3266973606858665;0.2011414289671225;0.1329453257257595;0.061121432316707094;0.14083004850602499	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-C09	30_SC5	LK1-C09_30_SC5	0.2011414289671225	0.01759881904476397	DFEs/LK1-C09_30_SC5_dfe.png	0.7291212167345928;0.06564601036955586;0.37654933011997116;0.5618791363977418;0.9642800887201273;0.10519715236493699	0.5578179636835495;0.3652531069938335;0.48030760748709533;0.2705240442180745;0.8710682830127289;0.5407245827895699	0.3920482112332015;0.3266973606858665;0.2011414289671225;0.1329453257257595;0.061121432316707094;0.14083004850602499	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-C09	30_SC7	LK1-C09_30_SC7	0.1329453257257595	0.007801521543278323	DFEs/LK1-C09_30_SC7_dfe.png	0.13010596946815645;0.6188736485914009;0.1907072351104414;0.8181769038219617;0.030501714175374617;0.006001834638946324	0.5626303268999874;0.3599831016557218;0.9586430804184058;0.9156926761661338;0.24486279573781478;0.31618180176089083	0.3920482112332015;0.3266973606858665;0.2011414289671225;0.1329453257257595;0.061121432316707094;0.14083004850602499	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-C09	37_SC3	LK1-C09_37_SC3	0.3266973606858665	-0.011979413403512091	DFEs/LK1-C09_37_SC3_dfe.png	0.9407839122663278;0.46821038232391043;0.8511048008475103;0.6268952632466949;0.6217763382899699;0.16235786077194425	0.5246197862066992;0.04581641367704481;0.57778340890565;0.9972265690452075;0.28656966737108003;0.9372810072242841	0.3920482112332015;0.3266973606858665;0.2011414289671225;0.1329453257257595;0.061121432316707094;0.14083004850602499	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-C09	37_SC5	LK1-C09_37_SC5	0.3920482112332015	-0.020482200059463204	DFEs/LK1-C09_37_SC5_dfe.png	0.12362180026757164;0.02965801422831904;0.46767730661594653;0.48537620407185245;0.3897326228896615;0.729922717569197	0.0921480577449455;0.4474820494281424;0.6332653188934471;0.5581948973919861;0.194365263544524;0.4063810487937132	0.3920482112332015;0.3266973606858665;0.2011414289671225;0.1329453257257595;0.061121432316707094;0.14083004850602499	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-C09	37_SC7	LK1-C09_37_SC7	0.061121432316707094	0.012049060398090816	DFEs/LK1-C09_37_SC7_dfe.png	0.871539660874069;0.040169975076886244;0.04135137243315812;0.1429512680813101;0.558295328591066;0.5716647553513343	0.18996870266776766;0.1548863460786324;0.6205712926425856;0.5540194724400409;0.8010154724281565;0.8466711675275356	0.3920482112332015;0.3266973606858665;0.2011414289671225;0.1329453257257595;0.061121432316707094;0.14083004850602499	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-F05	30_SC3	LK1-F05_30_SC3	0.20807467675322602	-0.002213605826928859	DFEs/LK1-F05_30_SC3_dfe.png	0.960714696914305;0.46901095197167175;0.990632697407669;0.7750667264089074;0.10303752290319967;0.6704662414888989	0.9709701684304178;0.18583209489822172;0.25016988354761915;0.7877534401507118;0.7781683081903773;0.8647685183885873	0.357098282771796;0.333192815487568;0.3210109401660325;0.2724644305354945;0.1469145459001795;0.20807467675322602	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-F05	30_SC5	LK1-F05_30_SC5	0.3210109401660325	-0.005871350417741484	DFEs/LK1-F05_30_SC5_dfe.png	0.8149835181234457;0.3622123071267701;0.08914952697009981;0.699125889932652;0.9339209822945921;0.5859882163924803	0.2604827687408138;0.7622190709889075;0.8694986476670928;0.43205123855531813;0.7540374204798883;0.41522132841159565	0.357098282771796;0.333192815487568;0.3210109401660325;0.2724644305354945;0.1469145459001795;0.20807467675322602	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-F05	30_SC7	LK1-F05_30_SC7	0.2724644305354945	-0.007634642093794136	DFEs/LK1-F05_30_SC7_dfe.png	0.7116404451518873;0.7923975490007287;0.07614967688406848;0.3149339934156039;0.7747373845970303;0.5431332544576792	0.27976305084345987;0.7016058596383402;0.6151072531022443;0.9330119687162991;0.8250084143995482;0.8698666104942396	0.357098282771796;0.333192815487568;0.3210109401660325;0.2724644305354945;0.1469145459001795;0.20807467675322602	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-F05	37_SC3	LK1-F05_37_SC3	0.333192815487568	-0.015243509845519506	DFEs/LK1-F05_37_SC3_dfe.png	0.1055827995460652;0.6361038311713599;0.5336635713543778;0.9195836248192121;0.7906338625076452;0.8821800798377437	0.04947545038365697;0.14255017168686634;0.6652070416639804;0.6076923803897956;0.14510457831515777;0.2087870879391176	0.357098282771796;0.333192815487568;0.3210109401660325;0.2724644305354945;0.1469145459001795;0.20807467675322602	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-F05	37_SC5	LK1-F05_37_SC5	0.357098282771796	-0.022040405463678248	DFEs/LK1-F05_37_SC5_dfe.png	0.7717952338110197;0.6891359651781024;0.5998263599896296;0.4582515446989526;0.07274026338254491;0.527251009411211	0.7176470941701893;0.5592521777334218;0.46864616872124587;0.10635169520935805;0.6530976150672154;0.29314992488238645	0.357098282771796;0.333192815487568;0.3210109401660325;0.2724644305354945;0.1469145459001795;0.20807467675322602	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-F05	37_SC7	LK1-F05_37_SC7	0.1469145459001795	0.01766743985091512	DFEs/LK1-F05_37_SC7_dfe.png	0.8551198083268866;0.13739689796131416;0.40574892657263917;0.15196396186048677;0.2974776580196842;0.5773680950143179	0.7270054270485196;0.7546130312687953;0.8165968461543476;0.8228756666858856;0.4229852206376721;0.2134604532332981	0.357098282771796;0.333192815487568;0.3210109401660325;0.2724644305354945;0.1469145459001795;0.20807467675322602	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-G03	30_SC3	LK1-G03_30_SC3	0.0603137810061	0.012641746646764535	DFEs/LK1-G03_30_SC3_dfe.png	0.6229177460521074;0.5586810013946172;0.8959134555245326;0.11622187236840742;0.8446162583147496;0.26802524160539953	0.13633526983564526;0.7845493812922781;0.35336435359111606;0.771307772248288;0.039858211652500586;0.525082874853854	0.34157278642135047;0.344830126311048;0.1657848138557365;0.20556097260780348;0.16856186374904397;0.0603137810061	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-G03	30_SC5	LK1-G03_30_SC5	0.1657848138557365	0.022619218374335507	DFEs/LK1-G03_30_SC5_dfe.png	0.31127798214213653;0.26418802649460593;0.3342655818698077;0.11482390351135652;0.7858410725673792;0.7321500945720948	0.7671618559117106;0.9154750290285756;0.6221040373220275;0.7428295202200469;0.97275394905883;0.9161288294244605	0.34157278642135047;0.344830126311048;0.1657848138557365;0.20556097260780348;0.16856186374904397;0.0603137810061	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-G03	30_SC7	LK1-G03_30_SC7	0.20556097260780348	-0.005994922196816003	DFEs/LK1-G03_30_SC7_dfe.png	0.5129719052285312;0.8545458183748239;0.6991987408574175;0.9310576181737781;0.9475517670621302;0.5099076243503037	0.07749772293480628;0.7981332264095935;0.5222743260733074;0.6861583040849911;0.43686451768917967;0.07731341082879484	0.34157278642135047;0.344830126311048;0.1657848138557365;0.20556097260780348;0.16856186374904397;0.0603137810061	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-G03	37_SC3	LK1-G03_37_SC3	0.344830126311048	-0.026599946391782054	DFEs/LK1-G03_37_SC3_dfe.png	0.2209479278819716;0.8673520379826574;0.7311927130689906;0.9150396839856312;0.8804945750356509;0.012079772324773641	0.09001162401863383;0.3298308991523379;0.5592819577639409;0.12330078246091303;0.36822933814932834;0.06831986261419154	0.34157278642135047;0.344830126311048;0.1657848138557365;0.20556097260780348;0.16856186374904397;0.0603137810061	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-G03	37_SC5	LK1-G03_37_SC5	0.34157278642135047	-0.013436556232054907	DFEs/LK1-G03_37_SC5_dfe.png	0.9661664687098064;0.8860718622515187;0.5858177090224501;0.5849037683363629;0.32841307010929477;0.7903517406771553	0.4073705624579338;0.4953708632669246;0.4130202077997145;0.9450900342699725;0.440668268071679;0.5156052194370657	0.34157278642135047;0.344830126311048;0.1657848138557365;0.20556097260780348;0.16856186374904397;0.0603137810061	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-G03	37_SC7	LK1-G03_37_SC7	0.16856186374904397	-0.005341885739534742	DFEs/LK1-G03_37_SC7_dfe.png	0.4871640685288984;0.3636150850851194;0.9355367140908564;0.5375955936389458;0.16117108695905247;0.5563921591915502	0.6819102196362705;0.47573644623115974;0.9315430706750356;0.5369602645309406;0.9277903978846898;0.11274727452762512	0.34157278642135047;0.344830126311048;0.1657848138557365;0.20556097260780348;0.16856186374904397;0.0603137810061	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-H02	30_SC3	LK1-H02_30_SC3	0.06588496873752585	0.01041226415899374	DFEs/LK1-H02_30_SC3_dfe.png	0.8652035856526329;0.6481365861175009;0.7253905747812056;0.005103396372878599;0.4040039568014421;0.6192452835942578	0.7482146767125982;0.2560696418449002;0.2932698148392967;0.06546440303602796;0.9730341317749422;0.48386720228538393	0.37183153735647456;0.32177325087942354;0.172159313499477;0.1840045704602615;0.1683226275521685;0.06588496873752585	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-H02	30_SC5	LK1-H02_30_SC5	0.172159313499477	0.020201253607757482	DFEs/LK1-H02_30_SC5_dfe.png	0.8145134804832097;0.639901318651732;0.08650505154572286;0.2836216489971821;0.8856051132709782;0.3152384438497069	0.028263822080044743;0.24376424616346115;0.3038296192504526;0.01839947459002378;0.21419733479499936;0.6100008041802846	0.37183153735647456;0.32177325087942354;0.172159313499477;0.1840045704602615;0.1683226275521685;0.06588496873752585	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-H02	30_SC7	LK1-H02_30_SC7	0.1840045704602615	-0.0008750844236023118	DFEs/LK1-H02_30_SC7_dfe.png	0.1784349499144673;0.7742150058997818;0.045351906508996676;0.6264512859778225;0.6794856645570804;0.9653513548215573	0.2949699575746515;0.6780042013112956;0.6800310687624062;0.19623812204484203;0.19245044021566882;0.9547753112321988	0.37183153735647456;0.32177325087942354;0.172159313499477;0.1840045704602615;0.1683226275521685;0.06588496873752585	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-H02	37_SC3	LK1-H02_37_SC3	0.32177325087942354	-0.008785977564742815	DFEs/LK1-H02_37_SC3_dfe.png	0.418247569477849;0.581453574091758;0.9471322441967623;0.894927934107856;0.7245992394489822;0.6171098383771723	0.4742497944903088;0.6998243284299485;0.0900781088913607;0.960899901922838;0.6294744255592711;0.004791320000783195	0.37183153735647456;0.32177325087942354;0.172159313499477;0.1840045704602615;0.1683226275521685;0.06588496873752585	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-H02	37_SC5	LK1-H02_37_SC5	0.37183153735647456	-0.02021707682600237	DFEs/LK1-H02_37_SC5_dfe.png	0.905033729232301;0.4058172130074609;0.42644729325824415;0.34639090400925177;0.6418697514445776;0.2796532186050249	0.7727175775804115;0.5242291548626298;0.7992708257199292;0.3002819479739496;0.09200585264584149;0.42237244363076687	0.37183153735647456;0.32177325087942354;0.172159313499477;0.1840045704602615;0.1683226275521685;0.06588496873752585	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK1-H02	37_SC7	LK1-H02_37_SC7	0.1683226275521685	0.0005508457612579408	DFEs/LK1-H02_37_SC7_dfe.png	0.6351400419505066;0.37721917691976636;0.8489300436680073;0.1026147761323013;0.840580859370571;0.10934180371607405	0.48511290787257144;0.7780159909170848;0.8528475936399333;0.23847043369251786;0.6410723485459503;0.5580514745702045	0.37183153735647456;0.32177325087942354;0.172159313499477;0.1840045704602615;0.1683226275521685;0.06588496873752585	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK2-A06	30_SC3	LK2-A06_30_SC3	0.1186014020998525	0.0070280959048036025	DFEs/LK2-A06_30_SC3_dfe.png	0.2288730933545936;0.4844250361283158;0.5432556092448848;0.23406870046591455;0.42649272331574273;0.16556288288269772	0.8611937252037037;0.8695659132402854;0.593580953814652;0.5740303040301585;0.37938954623861365;0.8155066674109017	0.19637155889156604;0.1812092821546385;0.1436969459661615;0.18487613929426702;0.21335416839050403;0.1186014020998525	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK2-A06	30_SC5	LK2-A06_30_SC5	0.1436969459661615	0.023001138982678672	DFEs/LK2-A06_30_SC5_dfe.png	0.09195041534248638;0.6923274554539764;0.800514945725117;0.4899990542352536;0.44422829287697807;0.5225426674962752	0.9741024375671609;0.3226616251531962;0.4718630392402412;0.6953719654650886;0.7395539538505037;0.45443600680960383	0.19637155889156604;0.1812092821546385;0.1436969459661615;0.18487613929426702;0.21335416839050403;0.1186014020998525	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK2-A06	30_SC7	LK2-A06_30_SC7	0.18487613929426702	-0.001711571015073036	DFEs/LK2-A06_30_SC7_dfe.png	0.030656696836340758;0.6641285563634137;0.26302161588705286;0.7914561735489675;0.06639788492746623;0.8475527820368739	0.7975444977930779;0.06067376096827115;0.7663447027710543;0.47958257464272036;0.32270153560742865;0.6161159665550623	0.19637155889156604;0.1812092821546385;0.1436969459661615;0.18487613929426702;0.21335416839050403;0.1186014020998525	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK2-A06	37_SC3	LK2-A06_37_SC3	0.1812092821546385	0.00321686866075042	DFEs/LK2-A06_37_SC3_dfe.png	0.14481207287824338;0.945077302179226;0.6201168521225783;0.4338305701523326;0.5598652360520131;0.8451535954632524	0.16055341288435376;0.0018015114655840492;0.6634840810952852;0.5352681599366323;0.36770942352133984;0.9181186317177125	0.19637155889156604;0.1812092821546385;0.1436969459661615;0.18487613929426702;0.21335416839050403;0.1186014020998525	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK2-A06	37_SC5	LK2-A06_37_SC5	0.19637155889156604	0.009943114657987029	DFEs/LK2-A06_37_SC5_dfe.png	0.5551477516753354;0.11330990463539847;0.17712077743240506;0.279432646207066;0.33648210551321167;0.4503734655250079	0.7864594971575332;0.6052700187970267;0.3142590740181852;0.6163387461981525;0.7630204079729969;0.24018371286788365	0.19637155889156604;0.1812092821546385;0.1436969459661615;0.18487613929426702;0.21335416839050403;0.1186014020998525	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK2-A06	37_SC7	LK2-A06_37_SC7	0.21335416839050403	-0.010141671092107311	DFEs/LK2-A06_37_SC7_dfe.png	0.9188272828205819;0.6166747227603921;0.22638072118170038;0.024090840449005113;0.8645298452624471;0.07338811963639835	0.7984048616180753;0.6691448090815474;0.9345586229666263;0.7912481703639157;0.01016702897503674;0.012727115952384183	0.19637155889156604;0.1812092821546385;0.1436969459661615;0.18487613929426702;0.21335416839050403;0.1186014020998525	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK2-A10	30_SC3	LK2-A10_30_SC3	0.140196235461451	0.01331907389681611	DFEs/LK2-A10_30_SC3_dfe.png	0.6743609599064185;0.6333530730474748;0.4962185764577516;0.5207522727598434;0.175090320222979;0.46397935155385206	0.5783079460431235;0.962922400738446;0.8298320090097914;0.4341765403547827;0.0807636431319767;0.3762247944104735	0.2581620289779665;0.21952918164312;0.2893732665177945;0.25148492944920453;0.2536573797391185;0.140196235461451	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK2-A10	30_SC5	LK2-A10_30_SC5	0.2893732665177945	0.014718599142064968	DFEs/LK2-A10_30_SC5_dfe.png	0.9109460781987323;0.03806167109884795;0.8764623886967954;0.47673699642251355;0.022800276795576502;0.5704998739965701	0.694348911439306;0.6623264768014793;0.8934560465350189;0.8464857563862209;0.6859452937246198;0.5485507196995867	0.2581620289779665;0.21952918164312;0.2893732665177945;0.25148492944920453;0.2536573797391185;0.140196235461451	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK2-A10	30_SC7	LK2-A10_30_SC7	0.25148492944920453	-0.0026381375885236617	DFEs/LK2-A10_30_SC7_dfe.png	0.38114248359025216;0.8478733280552739;0.36659177313168334;0.3379894544079546;0.9464168068027374;0.4662198919830849	0.6765271509579296;0.6940322568399717;0.021772479839616832;0.13512660340209504;0.7565563482047339;0.9583903323075932	0.2581620289779665;0.21952918164312;0.2893732665177945;0.25148492944920453;0.2536573797391185;0.140196235461451	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
LK2-A10	37_SC3	LK2-A10_37_SC3	0.21952918164312	0.0091408125656391	DFEs/LK2-A10_37_SC3_dfe.png	0.9988431361527458;0.3413089219608434;0.9885084502514158;0.7450756545752721;0.26243731549904714;0.6414357523887586	0.9110186040613413;0.6012182753813262;0.9109866538384577;0.217412620575959;0.09255748359031157;0.4753931837764874	0.2581620289779665;0.21952918164312;0.2893732665177945;0.25148492944920453;0.2536573797391185;0.140196235461451	37_SC5;37_SC3;30_SC5;30_SC7;37_SC7;30_SC3
